type_value,pp_code,parking_pl_value,x,y,destination,no_of_lots
CAR LOTS,P0096,PENANG ROAD OFF STREET,1.29979001002364,103.842335207192,"(1.29979001002364, 103.842335207192)",19
CAR LOTS,R0038,RACE COURSE ROAD / NORTHUMBERLAND ROAD,1.31040678614373,103.852120046495,"(1.31040678614373, 103.852120046495)",145
CAR LOTS,H0056,HOSPITAL DRIVE CAR PARK B OFF STREET,1.27859357218296,103.837426599385,"(1.27859357218296, 103.837426599385)",102
CAR LOTS,U0036,UPPER EAST COAST ROAD OFF STREET,1.31192076850536,103.925857706763,"(1.31192076850536, 103.925857706763)",139
CAR LOTS,O0028,OUTRAM ROAD OFF STREET,1.28425967325945,103.835405362685,"(1.28425967325945, 103.835405362685)",45
CAR LOTS,G0005,GRANGE ROAD / SOMERSET ROAD OFF STREET,1.30084648093736,103.837456932088,"(1.30084648093736, 103.837456932088)",183
CAR LOTS,U0045,UBI LINK,1.33202189451063,103.893535994868,"(1.33202189451063, 103.893535994868)",15
CAR LOTS,B0063,BUKIT BATOK NATURE PARK OFF STREET,1.34722957674226,103.761706860615,"(1.34722957674226, 103.761706860615)",112
CAR LOTS,C0151,CHANGI BEACH CAR PARK 1,1.39137707579011,103.989595981703,"(1.39137707579011, 103.989595981703)",77
CAR LOTS,B0032,BUKIT TIMAH MARKET OFF STREET,1.33881456868624,103.776419941281,"(1.33881456868624, 103.776419941281)",148
CAR LOTS,K0082,KAMPONG BUGIS OFF STREET,1.30595034557319,103.867345992398,"(1.30595034557319, 103.867345992398)",39
CAR LOTS,K0082,KAMPONG BUGIS OFF STREET,1.30595034557319,103.867345992398,"(1.30595034557319, 103.867345992398)",39
CAR LOTS,C0155,CHANGI BEACH CAR PARK 5,1.38982429841996,103.996075750922,"(1.38982429841996, 103.996075750922)",49
CAR LOTS,S0033,SERVICE ROAD OFF CHOA CHU KANG AVENUE 1,1.37664094357914,103.744962736291,"(1.37664094357914, 103.744962736291)",64
CAR LOTS,C0154,CHANGI BEACH CAR PARK 4,1.38995892474735,103.994719359534,"(1.38995892474735, 103.994719359534)",109
CAR LOTS,C0152,CHANGI BEACH CAR PARK 2,1.39073306088186,103.992203690544,"(1.39073306088186, 103.992203690544)",22
CAR LOTS,J0056,JALAN SEH CHUAN / LORONG KILAT OFF STREET,1.34078832287792,103.774648604622,"(1.34078832287792, 103.774648604622)",7
CAR LOTS,Z0001,ZION ROAD OFF STREET,1.29235057871016,103.830793800255,"(1.29235057871016, 103.830793800255)",17
CAR LOTS,P0013,PRINCE EDWARD ROAD / SHENTON WAY OFF STREET,1.27488683591079,103.84821479123,"(1.27488683591079, 103.84821479123)",150
CAR LOTS,F0027,FORT CANNING PARK C OFF STREET,1.29611439267267,103.844635179247,"(1.29611439267267, 103.844635179247)",58
CAR LOTS,J0094,JALAN KURAS,1.3725559028381,103.829513711279,"(1.3725559028381, 103.829513711279)",8
CAR LOTS,J0106,JOO CHIAT LANE,1.31214833306406,103.900735759061,"(1.31214833306406, 103.900735759061)",10
CAR LOTS,S0112,SEAH IM ROAD OFF STREET,1.26725277598949,103.818223731149,"(1.26725277598949, 103.818223731149)",803
CAR LOTS,C0153,CHANGI BEACH CAR PARK 3,1.39048651614173,103.992466919587,"(1.39048651614173, 103.992466919587)",48
CAR LOTS,C0118,CEYLON ROAD,1.30536622100417,103.902874437109,"(1.30536622100417, 103.902874437109)",14
CAR LOTS,P0054,PASIR PANJANG RD FOOD CENTRE,1.27593704734737,103.79100991613,"(1.27593704734737, 103.79100991613)",78
CAR LOTS,C0118,CEYLON ROAD,1.30536622100417,103.902874437109,"(1.30536622100417, 103.902874437109)",14
CAR LOTS,T0140,TANJONG KATONG ROAD OFF STREET,1.30618353774702,103.896386461618,"(1.30618353774702, 103.896386461618)",144
CAR LOTS,S0109,SIN MING ROAD HEAVY VEHICLE PARK,1.35684043040912,103.838089148733,"(1.35684043040912, 103.838089148733)",85
CAR LOTS,L0104,LORONG BEKUKONG OFF STREET,1.38982375457455,103.987121308557,"(1.38982375457455, 103.987121308557)",195
CAR LOTS,K0048,KALLANG ROAD/CRAWFORD STREET OFF STREET,1.30668702560385,103.863474687889,"(1.30668702560385, 103.863474687889)",259
CAR LOTS,L0093,LIANG SEAH STREET OFF STREET,1.29721726209329,103.856194935487,"(1.29721726209329, 103.856194935487)",45
MYCYCLE LOTS,W0029,WEST COAST PARK 1 OFF STREET,1.28933526405876,103.771751600828,"(1.28933526405876, 103.771751600828)",68
MYCYCLE LOTS,P0094,PASIR PANJANG ROAD / SOUTH BUONA VISTA ROAD,1.27869219653804,103.785594841628,"(1.27869219653804, 103.785594841628)",41
CAR LOTS,P0113,PASIR PANJANG FOOD CENTRE (TEMP) OFF STREET CAR PARK,1.27511085908972,103.792826569174,"(1.27511085908972, 103.792826569174)",92
MYCYCLE LOTS,Y0019,YAN KIT ROAD / CANTONMENT ROAD OFF STREET,1.27435787260008,103.84141578897,"(1.27435787260008, 103.84141578897)",23
MYCYCLE LOTS,L0064,LORONG 21 GEYLANG OFF STREET,1.31361688400068,103.879728364824,"(1.31361688400068, 103.879728364824)",49
MYCYCLE LOTS,K0032,KENSINGTON PARK ROAD OFF STREET,1.36480526021676,103.866368763678,"(1.36480526021676, 103.866368763678)",55
MYCYCLE LOTS,Q0007,QUEEN STREET / ROCHOR ROAD OFF STREET,1.30130010243748,103.855813737345,"(1.30130010243748, 103.855813737345)",236
CAR LOTS,S0023,STURDEE ROAD,1.31244107060851,103.859061204542,"(1.31244107060851, 103.859061204542)",14
MYCYCLE LOTS,R0011,ROBERTS LANE,1.3101904550708,103.853925295467,"(1.3101904550708, 103.853925295467)",24
MYCYCLE LOTS,B0088,BEDOK ROAD FOOD CENTRE OFF STREET,1.32045943258979,103.955176657417,"(1.32045943258979, 103.955176657417)",121
MYCYCLE LOTS,C0133,CARPENTER STREET OFF STREET,1.28798881539232,103.848187308598,"(1.28798881539232, 103.848187308598)",78
MYCYCLE LOTS,L0013,LORONG 6 GEYLANG,1.30911834087456,103.876783071776,"(1.30911834087456, 103.876783071776)",32
MYCYCLE LOTS,L0013,LORONG 6 GEYLANG,1.30911834087456,103.876783071776,"(1.30911834087456, 103.876783071776)",32
MYCYCLE LOTS,L0115,LORONG 1 GEYLANG ROAD OFF STREET,1.31045960917583,103.871843474585,"(1.31045960917583, 103.871843474585)",72
MYCYCLE LOTS,L0015,LORONG 8 GEYLANG,1.3093102857622,103.877357798995,"(1.3093102857622, 103.877357798995)",35
CAR LOTS,C0148,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.31050175750965,103.839676470129,"(1.31050175750965, 103.839676470129)",252
MYCYCLE LOTS,E0027,EAST COAST PARK E1 OFF STREET,1.30585787442426,103.92933604314,"(1.30585787442426, 103.92933604314)",572
MYCYCLE LOTS,J0095,JALAN LEBAN SERVICE ROAD,1.37142730863255,103.828958947941,"(1.37142730863255, 103.828958947941)",30
MYCYCLE LOTS,D0026,DICKSON ROAD OFF STREET,1.30571453942063,103.853763615773,"(1.30571453942063, 103.853763615773)",49
MYCYCLE LOTS,D0028,DELTA CIRCUS FRINGE CARPARK,1.28870522572214,103.824879197052,"(1.28870522572214, 103.824879197052)",114
MYCYCLE LOTS,K0118,KAMPONG JAVA FRINGE CAR PARK,1.31126860312542,103.845046966463,"(1.31126860312542, 103.845046966463)",5
MYCYCLE LOTS,S0111,STAGMONT RING HEAVY VEHICLE PARK,1.39135883152987,103.753797769039,"(1.39135883152987, 103.753797769039)",37
MYCYCLE LOTS,M0032,MARSILING CRESCENT,1.44754411859943,103.77434769351,"(1.44754411859943, 103.77434769351)",14
MYCYCLE LOTS,S0106,SIN MING DRIVE OFF STREET,1.35641576667235,103.836049394588,"(1.35641576667235, 103.836049394588)",77
CAR LOTS,M0063,MAYNE ROAD,1.30577006173608,103.848757806318,"(1.30577006173608, 103.848757806318)",6
